,Player,Nation,Pos,90s,Squad,Comp,Age,Goals,Offensive Rate,Defensive Rate,Passing Rate,Playmaking Rate,Physical Rate,Overall Rating
36,Raúl Albiol,ESP,DF,16.9,Villarreal,La Liga,37,0,0.4397076234147373,58.17549646785327,44.02352642077826,3.202751368442928,89.70280786924552,62.90437181278167
37,Thiago Alcántara,ESP,MF,12.8,Liverpool,Premier League,31,0,7.136022249673762,34.34057972704224,46.284070861772285,23.79675898290046,70.36062968837443,37.0217768629953
38,Rubén Alcaraz,ESP,MF,11.2,Cádiz,La Liga,31,1,13.53970933934108,34.073472545199856,33.414977004947325,10.171597316500538,67.4630076927761,26.646970688810047
39,Omar Alderete,PAR,DF,7.0,Getafe,La Liga,26,0,5.358223619690516,24.027693206939805,13.114702533430405,1.9336639492554837,83.41080236263625,41.98572333577804
40,Iván Alejo,ESP,MF,8.1,Cádiz,La Liga,28,0,8.293268742613957,26.04459869717319,21.854349618616023,11.293547725774118,59.694623175756604,22.23314915825885
41,Carles Aleñá,ESP,MF,16.2,Getafe,La Liga,25,2,27.58687272207813,25.441260411728777,42.17194434505021,13.89362287006281,63.072003999688064,30.899696110925817
42,Trent Alexander-Arnold,ENG,DF,16.0,Liverpool,Premier League,24,1,16.517382641346508,47.87397704663994,63.70541295764558,31.484330763108996,77.35806929587758,61.2788447222821
43,Ángel Algobia,ESP,MF,8.3,Getafe,La Liga,23,0,1.2957064879321845,15.652380222896731,21.909222577801362,4.883065965219533,48.93162331204022,15.353388433541026
44,Jim Allevinah,GAB,DF,13.6,Clermont Foot,Ligue 1,27,1,17.40255471989985,26.96220814252261,35.558526033526455,17.87469053369749,52.255204149981594,38.40253253357548
45,Domingos André Ribeiro Almeida,POR,MF,13.9,Valencia,La Liga,22,2,24.28169118516034,31.93341090813972,47.92238528033007,24.79441187670971,62.18496491904657,38.71926371597893
46,Miguel Almirón,PAR,FW,20.2,Newcastle Utd,Premier League,29,10,52.527787966142036,37.64885222756907,61.545540177259205,54.005362202501814,67.1435978720774,62.15717466599369
47,Marcos Alonso,ESP,DF,6.9,Barcelona,La Liga,32,1,11.630237318456835,20.324392393981263,20.239761423674917,3.871618607346952,63.19240059268883,35.101619465735155
48,Mickaël Alphonse,GLP,DF,9.5,Ajaccio,Ligue 1,33,0,6.15656771214988,31.782125155202372,23.02330201924736,7.2523740706417525,62.10158571720243,40.05280263192964
49,Gastón Álvarez,URU,DF,6.3,Getafe,La Liga,22,2,26.430331384333627,19.90910664266769,12.371779860581613,2.9790043321428405,62.171433210871385,35.252213285995936
50,Julián Álvarez,ARG,FW,6.4,Manchester City,Premier League,23,4,36.343660538506384,10.716220478460942,19.129480588646416,8.487704314910186,39.150952970548246,35.30123384770426
51,Yeray Álvarez,ESP,DF,17.4,Athletic Club,La Liga,28,1,11.23071047084671,59.35767016629141,48.358222435769925,9.663172923427693,84.39997023024203,64.09569124850806
52,Daniel Amartey,GHA,DF,15.2,Leicester City,Premier League,28,0,24.51382255487646,46.516518135374646,42.3700609257574,6.290562969990672,79.47355287335873,56.97253611680592
53,Amath,SEN,MF,5.5,Mallorca,La Liga,26,1,15.755621951758608,11.098087886877147,13.208954017900373,16.179262207810314,37.16019706033306,19.613741806628166
54,Kelvin Amian,FRA,DF,11.7,Spezia,Serie A,25,0,6.877918802658173,37.1191657832861,29.181340216262253,5.31284324120787,69.9859946820387,45.77010523800197
55,Nadiem Amiri,GER,MF,7.1,Leverkusen,Bundesliga,26,2,21.863886487673735,5.32125316516893,24.560362007905255,21.68671477349892,25.818499198246293,24.104792969461354
