,Player,Nation,Pos,90s,Squad,Comp,Age,Goals,Offensive Rate,Defensive Rate,Passing Rate,Playmaking Rate,Physical Rate,Overall Rating
388,Alexander Djiku,GHA,DF,20.0,Strasbourg,Ligue 1,28,1,14.852859418844568,85.65069469257216,51.063845871656945,7.235700255102717,89.45367661343873,78.31801529328641
389,Berat Djimsiti,ALB,DF,6.9,Atalanta,Serie A,29,0,0.8677070556734608,25.772481679609832,16.988969771173977,0.6427344788139906,71.31142549779771,38.41093520265504
390,Ritsu Doan,JPN,FW,16.5,Freiburg,Bundesliga,24,2,36.61338152208835,22.152176990579523,49.34671539210037,39.91962186072422,48.634988937828574,44.299905111905304
391,Dodô,BRA,DF,13.2,Fiorentina,Serie A,24,0,9.267245850094818,39.19167491217503,39.484629605295254,15.76789086142972,79.2145798583708,52.538592292267055
392,Danilho Doekhi,NED,DF,10.9,Union Berlin,Bundesliga,24,4,39.99248393695905,38.0522581223155,24.850571401524434,5.242611213569898,85.32560057718887,54.752794827518485
393,Matt Doherty,IRL,DF,7.4,Tottenham,Premier League,31,1,12.461159291484277,24.91992845273485,21.215708881634303,16.195118646816194,67.05705644752065,40.15095465638668
394,Josh Doig,SCO,DF,10.4,Hellas Verona,Serie A,20,2,22.761497357661042,24.758060553665377,28.954421854188116,26.868296747235032,68.15631442663737,43.74135518962609
395,Nicolás Domínguez,ARG,MF,14.8,Bologna,Serie A,24,1,21.169023477944478,44.8038994311996,51.28708424290262,25.74242644665953,72.59761435984873,42.34142225324326
396,Gabriel Dos Santos,BRA,DF,21.0,Arsenal,Premier League,25,2,26.720906441000437,64.16719560029748,51.57891837272641,4.519377369771538,81.60228956502326,66.89040883411037
397,Cheick Doucouré,MLI,MF,18.3,Crystal Palace,Premier League,23,0,19.084244228052917,59.1423503047069,58.82795553215888,22.506099352767393,75.57391357297988,43.959041654384514
398,Désiré Doué,FRA,MF,7.8,Rennes,Ligue 1,17,3,26.018536587883318,20.878238030434268,23.550400951583814,12.871076723421258,49.67473156473908,23.815129071810567
399,Ismaël Doukouré,FRA,DF,11.3,Strasbourg,Ligue 1,19,1,17.747691331255403,28.983738501567608,26.366829189517553,4.289630490729735,72.7597346327937,43.80236274058609
400,Kamory Doumbia,MLI,MF,9.9,Reims,Ligue 1,19,2,24.86888997811136,19.79731512247684,34.12805493830019,20.53454997939902,45.21570433075198,29.857765959310957
401,Souleyman Doumbia,CIV,DF,16.4,Angers,Ligue 1,26,0,20.467510676544855,50.11844622014328,43.45941142885253,12.901413461589437,79.51772992063655,59.055410817793096
402,Dominick Drexler,GER,MF,9.3,Schalke 04,Bundesliga,32,2,18.286742935675665,20.143652896111437,28.395702913386874,16.731270238914313,53.69973816144682,26.625649923860667
403,Domingos Duarte,POR,DF,18.5,Getafe,La Liga,27,0,16.288144577631762,68.04275477848523,43.505724307376894,6.905749806258845,88.65462415858593,69.24180050975362
404,Marvin Ducksch,GER,FW,18.5,Werder Bremen,Bundesliga,28,4,50.41203392097905,37.200746430997405,64.19288998797632,55.103959250439594,77.26064099701627,62.14418521856766
405,Denzel Dumfries,NED,DF,13.3,Inter,Serie A,26,1,24.983076688860866,36.46681073905224,43.127168503187875,27.37485328961854,72.7599948579509,52.618971445187576
406,Alfred Duncan,GHA,MF,6.0,Fiorentina,Serie A,29,0,0.8586006847743392,19.401272747402086,15.360844332591597,8.801497096605338,64.99544866200033,18.315116590028623
407,Lewis Dunk,ENG,DF,21.0,Brighton,Premier League,31,0,9.175631791925998,56.90870422931463,53.22008564488271,5.619984260553277,83.4366092632275,62.50185257187428
408,Hugo Duro,ESP,FW,6.0,Valencia,La Liga,23,1,17.093280973924312,9.037935734703291,16.985785388656186,7.643446853540917,41.52678263340574,20.810428183768035
409,Jean-Kevin Duverne,FRA,DF,15.4,Brest,Ligue 1,25,0,0.868140692382943,52.60307198693661,38.12182596124066,9.575587084527458,76.77221755140893,56.0147134327395
410,Paulo Dybala,ARG,MF,13.1,Roma,Serie A,29,8,47.97359697699377,12.846055337246694,61.76489066651034,36.014466960081734,54.84452067306718,47.9978444653844
411,Edin D?eko,BIH,FW,14.4,Inter,Serie A,36,7,51.00316283446976,31.702295326314673,42.46199772117317,31.87662837483111,67.50534260835275,56.00569012576106
412,Enzo Ebosse,CMR,DF,10.1,Udinese,Serie A,23,0,1.313919229730428,32.09601388843819,23.942895970794634,2.562907749353738,59.05034472026577,38.16264952665194
413,Tyronne Ebuehi,NGA,DF,9.1,Empoli,Serie A,27,1,12.36165148265609,17.54192274932975,22.528121055092072,5.550635034029149,51.42855804556334,30.325190534266508
414,Éderson,BRA,MF,12.0,Atalanta,Serie A,23,1,18.56547081865046,30.751888011818494,37.27131505036258,14.663103119646273,51.05371055462555,28.417422450908514
415,Odsonne Édouard,FRA,FW,12.1,Crystal Palace,Premier League,25,3,30.636818374062784,29.958204214470225,33.11874986913876,17.315724494943964,60.13152820346278,37.170058487802606
416,Samuel Edozie,ENG,FW,6.0,Southampton,Premier League,20,0,8.608178542038646,14.095175304103316,16.047975518852585,13.724466045752951,41.30756896096779,15.349641907585184
417,Maximilian Eggestein,GER,MF,15.5,Freiburg,Bundesliga,26,0,8.543543041513681,44.13614601344255,46.20987459712124,20.506362134649383,75.07843939521813,36.94398960581206
418,Íñigo Eguaras,ESP,MF,7.0,Almería,La Liga,30,1,13.575352116894434,20.460752845228704,24.424576696729176,8.24361433997832,56.78243043010536,20.70790526945838
419,Kingsley Ehizibue,NED,DF,6.9,Udinese,Serie A,27,1,10.398345640858421,23.090335174226478,17.26166099695715,7.882052584044259,56.55408285464917,34.06548555112083
420,Chidera Ejuke,NGA,FW,8.8,Hertha BSC,Bundesliga,25,0,13.912008837478487,21.060429346643268,27.364257699365147,32.6711206434999,68.62402825420668,26.286763127391723
421,Albin Ekdal,SWE,MF,6.5,Spezia,Serie A,33,0,5.076654578348611,19.505780113430106,14.768665751357412,5.783325482781558,52.9989648243246,15.573405602296134
422,Hugo Ekitike,FRA,FW,8.2,Paris S-G,Ligue 1,20,3,27.961659845017873,16.002510006499275,24.84696343910377,13.2764595568611,51.09200884973715,31.93635611492855
423,Harvey Elliott,ENG,MF,12.6,Liverpool,Premier League,19,1,20.154831837920234,13.308177301472288,40.63189345935899,39.31224750383369,39.915156189741616,40.205941940946246
424,Elif Elmas,MKD,FW,9.2,Napoli,Serie A,23,5,35.23624889852775,9.147100621827262,29.108226690567278,24.79994755765328,31.170966366939336,36.48361977584639
425,Aritz Elustondo,ESP,DF,11.4,Real Sociedad,La Liga,28,0,2.620032998690181,31.39666427111264,28.98111426050368,6.361919322825317,61.37373901394443,39.801568049382304
426,Nico Elvedi,SUI,DF,16.5,M'Gladbach,Bundesliga,26,2,27.49403501751033,56.339524201251635,46.41019452021551,5.860632709326951,85.63517639178593,64.34134263364615
427,Rodrigo Ely,BRA,DF,19.1,Almería,La Liga,29,0,8.844946135805811,80.36429819631785,46.12182079369802,6.086768114368398,97.04467493454038,77.11923639174013
428,Sepe Elye Wahi,FRA,FW,17.1,Montpellier,Ligue 1,20,7,48.82746521172813,15.953479755387912,39.88946586617202,17.05527655708584,61.13785997459601,50.76502042234523
429,Mohamed Elyounoussi,NOR,MF,15.6,Southampton,Premier League,28,0,21.03165131622051,40.68436810154206,41.03859241451062,14.331100714613324,66.24515395700979,32.24847433542562
430,Adri Embarba,ESP,FW,8.7,Almería,La Liga,30,1,20.82439154019288,18.402152544939735,32.56551275274029,28.287932563797035,41.31264335153348,28.245300323841487
431,Breel Embolo,SUI,FW,17.1,Monaco,Ligue 1,25,12,58.94826756695461,32.48582777383414,57.60463285133146,44.073516980790416,64.66406210701052,64.76725349473098
432,Emerson,BRA,DF,13.3,Tottenham,Premier League,24,1,17.962466590777062,40.5621360953283,34.45349666415793,12.386789399044442,63.97047381276176,47.96309152415186
433,Youssef En-Nesyri,MAR,FW,8.2,Sevilla,La Liga,25,3,32.78033854316335,15.10394110755429,17.288357302058095,9.317203804955302,47.20293622147745,33.70682020165337
434,Wataru Endo,JPN,MF,18.5,Stuttgart,Bundesliga,30,3,28.386800824095253,61.482751271524826,60.5492394736834,22.31729443986607,86.14712741420809,46.788396324780095
435,Christian Eriksen,DEN,MF,16.5,Manchester Utd,Premier League,30,1,25.209720495724085,34.838459718982065,57.12852514172886,31.75147124152896,71.72453430448267,46.34026102262591
436,Martin Erlic,CRO,DF,13.6,Sassuolo,Serie A,25,0,0.41282214742685397,43.83373386901009,33.543193386002685,2.2278892279129625,81.27607874294299,52.12839362741827
437,Gonzalo Escalante,ARG,MF,6.2,Cremonese,Serie A,29,0,4.976774823902707,17.978268667782785,16.33970841241879,3.206284641439906,64.95219924087117,15.640116216941172
438,Sergio Escudero,ESP,DF,8.5,Valladolid,La Liga,33,0,11.673015024410082,30.453226751421752,24.08387175476793,5.460512813512164,76.40814338197983,44.905546507323066
439,Alfonso Espino,URU,DF,19.7,Cádiz,La Liga,31,0,8.885384645755327,62.414272462733,47.92482790240955,14.61396498010471,75.55013642861495,62.70463547276119
440,Bernardo Espinosa,COL,DF,9.4,Girona,La Liga,33,0,13.361852098354818,33.741093576763966,23.246810860468443,5.269643876659977,80.54228840962354,47.9066328999582
441,Maxime Estève,FRA,DF,14.8,Montpellier,Ligue 1,20,0,1.7328122910900305,54.802894554213374,33.028129739801706,2.2343133606347414,74.85267352724273,55.03823535212693
442,Pervis Estupiñán,ECU,DF,14.0,Brighton,Premier League,25,0,3.4604209416662757,43.9710752732494,49.07626491061144,22.7238052779607,72.80058998247644,53.753958868449466
443,Jonny Evans,NIR,DF,9.0,Leicester City,Premier League,35,0,21.02033074387664,30.786827624828472,23.219055076961475,1.2719782789122451,90.15162279010292,50.269969432287006
444,Edu Expósito,ESP,MF,10.3,Espanyol,La Liga,26,2,23.330154806211052,29.70287770239601,33.74487603370801,22.6075251777168,58.76144275072564,33.4651728711296
445,Eberechi Eze,ENG,MF,17.2,Crystal Palace,Premier League,24,3,33.12679994900557,26.8377416149631,65.557745979086,43.090635635096,57.99973059599179,53.17999679872999
446,Abdessamad Ezzalzouli,MAR,FW,6.5,Osasuna,La Liga,21,0,10.313264739051794,14.435689524593798,17.112698782422214,16.820359814858897,43.824466681551556,17.40237382216825
447,Fabinho,BRA,MF,13.9,Liverpool,Premier League,29,0,15.421617592706454,43.90148197567502,39.21815324164692,12.621301650260461,72.85877632762974,31.33615906677372
448,Noah Fadiga,SEN,DF,9.8,Brest,Ligue 1,23,1,14.957461427440336,21.695123411211664,22.44016564643879,13.886760119283778,59.75024630311132,36.32647355219179
449,Wout Faes,BEL,DF,16.0,Leicester City,Premier League,24,0,10.886115905256613,55.967855202004166,39.90718472233328,6.086122535628327,85.98656301378206,61.671889790204695
450,Nicolò Fagioli,ITA,MF,6.3,Juventus,Serie A,22,2,23.351666297680453,4.956084757969744,24.01019462330205,10.8999067495681,28.771794507479655,18.271038400558066
451,Radamel Falcao,COL,FW,5.2,Rayo Vallecano,La Liga,37,2,23.170097317345984,11.591684799012313,12.73122408317526,4.870681797677105,42.537840028941936,24.789762758073863
452,Fali,ESP,DF,10.2,Cádiz,La Liga,29,0,1.725006830319354,34.079321809777404,24.858302164278868,3.985074822032043,72.63627638320638,44.051494363462886
453,Davide Faraoni,ITA,DF,5.3,Hellas Verona,Serie A,31,0,7.981487623144229,14.748743625144279,12.484006860236669,13.333636088962376,63.78508941076178,32.529582698961484
454,Ansu Fati,ESP,FW,8.6,Barcelona,La Liga,20,3,33.59205342957903,14.909215776577483,27.4321309271074,38.89371302375957,41.936793391113724,38.24402001114752
455,Federico Fazio,ARG,DF,11.8,Salernitana,Serie A,35,1,12.64666051816108,50.12669846540063,27.676931563923112,3.866043071966612,94.01830840116102,60.302796165088125
456,Nabil Fekir,FRA,MF,8.7,Betis,La Liga,29,2,20.492871060620647,15.286434063378037,34.11246884990255,31.30557243960116,60.5863497332432,36.76182427788533
457,Luiz Felipe,ITA,DF,8.6,Betis,La Liga,25,0,10.695670158733678,32.618202582061215,21.693411326618456,0.9668319746277418,72.87747468801726,43.784370852147276
458,Ohis Felix Uduokhai,GER,DF,9.8,Augsburg,Bundesliga,25,0,12.060600058062303,33.19066424813848,21.456469055176914,3.8917538787042205,69.01780096210445,43.1849202435925
459,Kiko Femenía,ESP,DF,9.9,Villarreal,La Liga,32,0,0.0,33.327663072249806,28.59366790403211,5.469506599322654,78.68292018128625,46.184048427538535
460,Lewis Ferguson,SCO,MF,11.2,Bologna,Serie A,23,3,29.803804146518587,23.547925189277535,30.97140547211642,16.1274016689597,57.539529502506745,29.017513928780463
461,Bruno Fernandes,POR,MF,21.0,Manchester Utd,Premier League,28,5,41.5346719721807,41.4660123533074,92.52669750282104,61.40992690855654,67.788638584506,73.59868403919828
462,Edimilson Fernandes,SUI,DF,14.1,Mainz 05,Bundesliga,26,0,7.493917853184491,40.58595213257145,36.619043168484986,12.69865860167557,65.09089924966679,47.443968774286525
463,Álex Fernández,ESP,MF,13.6,Cádiz,La Liga,30,3,31.07233271172289,23.456881942941187,41.409262760071165,12.47362284831424,57.605443165223235,29.45828925300471
464,Joaquín Fernández,ESP,DF,14.6,Valladolid,La Liga,26,1,10.061516798730459,54.32869704221742,35.97907889298932,3.845485847256919,85.22997138043722,59.86083586211579
465,Fernando,BRA,MF,10.8,Sevilla,La Liga,35,0,1.3113174094735363,29.53511259557853,31.530982145700698,4.162838003712802,67.40352022183676,20.84990056553036
466,Alex Ferrari,ITA,DF,9.6,Sampdoria,Serie A,28,0,2.1647144537340917,32.058323522888685,25.04018724240572,1.2951051567106493,75.99610286804555,44.043149799400204
467,Jordan Ferri,FRA,MF,16.8,Montpellier,Ligue 1,30,0,9.04154536277139,40.68709086817521,51.51240020418666,17.06945659798249,74.51213740808677,35.78809858866507
468,Roberto Firmino,BRA,FW,10.3,Liverpool,Premier League,31,7,52.42661896926128,18.976739557660782,37.40598669662402,31.957463263768915,62.257619782941006,55.16617982726377
469,Florian Flick,GER,MF,5.7,Schalke 04,Bundesliga,22,0,7.385598195888236,20.428125122728833,11.957209257753108,2.251979725619634,75.52519942354925,15.857074887600051
470,Alexis Flips,FRA,DF,11.2,Reims,Ligue 1,23,2,27.686948542241645,26.11216303507602,43.369523940760885,24.59486379195444,51.887016604599914,40.727727038518914
471,Phil Foden,ENG,FW,11.6,Manchester City,Premier League,22,7,46.5726856581038,23.803901421857894,44.05137815405418,32.95786777280261,60.12273259314891,51.7173293311001
472,Seko Fofana,CIV,MF,19.4,Lens,Ligue 1,27,3,36.29286576641542,43.15688524181699,65.64213247925352,32.62695617352098,82.90539306229323,52.29177038878797
473,Youssouf Fofana,FRA,MF,20.4,Monaco,Ligue 1,24,1,21.940266488533215,61.88550180902778,61.81945205327104,34.957435183370464,80.27538256291786,52.950381809914646
474,Thomas Foket,BEL,DF,6.9,Reims,Ligue 1,28,0,0.41889306135960197,15.244450864984938,24.411828659761838,5.141875830511925,67.97146162745855,33.75628925792551
475,José Fonte,POR,DF,17.7,Lille,Ligue 1,39,1,14.111914622266465,61.4546083585113,47.329328481169384,4.979228327214429,86.60254061381966,65.48821340582073
476,Pablo Fornals,ESP,FW,10.7,West Ham,Premier League,26,1,17.854951641274923,18.8121194906868,31.23342862989052,11.891712081285135,47.71144985487244,24.76212887759993
477,Emil Forsberg,SWE,MF,8.4,RB Leipzig,Bundesliga,31,2,19.624762583996297,19.9373625129306,24.098682910010982,10.562639781674703,54.445225834259666,22.325762472872047
478,Philipp Förster,GER,MF,9.6,Bochum,Bundesliga,28,2,21.674729850006443,24.772155808699655,31.63049315772582,17.93377042716959,56.37444942862363,29.27854055495423
479,Dimitri Foulquier,FRA,DF,7.4,Valencia,La Liga,29,0,0.8664061455450153,21.86438496671949,17.596016932134138,4.960326576742909,54.397466864229614,31.37599824657615
480,Juan Foyth,ARG,DF,7.0,Villarreal,La Liga,25,1,17.001494813019054,28.547500651483226,21.27170561614384,2.900495923883226,79.24641917172417,45.002651186906206
481,Przemys?aw Frankowski,POL,DF,17.5,Lens,Ligue 1,27,2,18.608905810070997,48.75598552034124,70.09700901607003,40.78501832330107,65.02287166220428,59.48221499643534
482,Davide Frattesi,ITA,MF,19.2,Sassuolo,Serie A,23,5,46.44703185670353,54.32424825964103,59.898614597343865,37.103184572298225,81.34074097700866,55.80071247418389
483,Fred,BRA,MF,8.5,Manchester Utd,Premier League,29,2,21.991092363251656,26.992452235904718,32.83440874224249,13.41428091913571,47.96388743185628,26.2947739508637
484,Ryan Fredericks,ENG,DF,5.1,Bournemouth,Premier League,30,0,0.0,10.562637582003921,9.908251899188391,3.0021825155998534,48.20535720326656,22.87059162012254
485,Iván Fresneda,ESP,DF,8.5,Valladolid,La Liga,18,0,0.44230944367162933,27.363279000288205,27.456653824563237,5.460512813512164,66.77492033206813,39.28256034582278
486,Remo Freuler,SUI,MF,16.2,Nott'ham Forest,Premier League,30,0,8.788882175322778,52.963598979769536,42.54992141089457,6.400363430708433,81.53936712200866,29.809997686927943
487,Marco Friedl,AUT,DF,16.8,Werder Bremen,Bundesliga,24,0,14.110701907039392,58.09503907602889,45.05231953560788,9.82313225097013,77.35874588128634,61.06880781332332
488,Marvin Friedrich,GER,DF,10.7,M'Gladbach,Bundesliga,27,1,16.79829399674414,38.673713190569956,27.914034941106188,2.233992153998653,77.77010980981184,49.79349674969392
489,Jeremie Frimpong,NED,DF,17.9,Leverkusen,Bundesliga,22,5,37.985183716491875,40.18738834970728,55.44200429049436,53.78173539918913,68.10238090405343,58.64446097517776
490,Chris Führich,GER,FW,13.1,Stuttgart,Bundesliga,25,4,32.87193775257728,21.939539183798342,39.41065378722081,26.206298787613402,48.842344560734055,38.819979734746354
491,Niclas Füllkrug,GER,FW,18.5,Werder Bremen,Bundesliga,30,13,65.60547612202369,42.2759496394821,55.0881341415304,24.804796732662034,85.37571321894768,70.15852697571259
492,Matteo Gabbia,ITA,DF,6.7,Milan,Serie A,23,0,0.43580489302939934,29.1068929919847,15.328817793149826,1.2912506770775822,76.62016064597915,41.595820510824886
493,Manolo Gabbiadini,ITA,FW,11.8,Sampdoria,Serie A,31,4,40.857312481354526,20.452119576305876,28.088635502201537,9.93446040646983,54.67810736983121,42.186067104065266
494,Javi Galán,ESP,DF,19.1,Celta Vigo,La Liga,28,0,3.0645106259092203,65.36854860035174,61.0551279562693,18.25358137018447,83.44124870603042,68.0210541275659
495,Iñigo Ruiz de Galarreta,ESP,MF,14.5,Mallorca,La Liga,29,0,12.506000728547631,32.70562767963694,43.06138105954139,13.484826636737473,63.82592333013747,30.060817611973224
496,Conor Gallagher,ENG,MF,9.3,Chelsea,Premier League,23,1,17.611786419436477,28.34302833241345,34.56663320418475,16.40267585019532,48.568006982361425,28.124381071940032
497,Antonino Gallo,ITA,DF,14.8,Lecce,Serie A,23,0,12.559212907922326,45.733672257295495,45.00430209490032,20.189419407897166,74.16120323949094,55.313718992096774
498,Cristian Gamboa,CRC,DF,14.1,Bochum,Bundesliga,33,0,7.670215979461717,46.10887025585264,35.19909383769448,14.283813350774544,81.77887835670937,55.74347975687545
499,Kévin Gameiro,FRA,FW,15.5,Strasbourg,Ligue 1,35,7,50.167814378133876,24.37685997374756,48.65643577144439,16.251633153897714,62.171433210871385,53.2745329415504
500,Idrissa Gana Gueye,SEN,MF,13.6,Everton,Premier League,33,0,31.528156976344277,46.14955145445139,36.36685552283914,10.525669640787779,74.91170560415695,31.820043561373407
501,Ignatius Ganago,CMR,FW,9.2,Nantes,Ligue 1,23,3,26.280065830786555,17.30934933540958,20.405172944122477,15.90184772184153,57.71256622079689,31.30982840065446
502,Aleix García,ESP,MF,20.3,Girona,La Liga,25,0,31.262928726400684,60.71414050384429,98.52010975160135,57.61801975694307,88.33122142030743,76.17979237031561
503,Álvaro García,ESP,FW,16.5,Rayo Vallecano,La Liga,30,4,40.891878605566106,46.617139941373075,49.02309208617506,35.326561327443244,80.60567925792114,51.98117586086083
504,Dani García,ESP,MF,6.6,Athletic Club,La Liga,32,0,0.8586006847743389,16.700721126496852,16.82276395580716,4.238860403713838,48.96943030988133,13.894344657427752
505,David García,ESP,DF,17.5,Osasuna,La Liga,28,1,15.505935908176289,68.79849396994399,43.30642599821371,3.8785701307740803,90.24431499110293,69.67491973453183
506,Eric García,ESP,DF,8.3,Barcelona,La Liga,22,1,11.847953522479267,25.28827669674155,21.09606170043284,0.319921809544595,68.53195113085101,38.92487085195987
507,Francisco Garcia,ESP,DF,19.9,Rayo Vallecano,La Liga,23,0,22.92760915143913,41.12090183707182,56.145511168313554,27.889975766236212,69.0401282805935,54.78663385386388
508,Raúl García,ESP,FW,6.3,Athletic Club,La Liga,36,1,21.332811821839265,12.952527062969768,15.329844231001804,22.109168694947307,37.31503846388049,25.173544094189676
509,Rubén García,ESP,MF,6.9,Osasuna,La Liga,29,1,11.92743969669181,12.832888314404489,25.649540237551605,18.810376947050038,36.58110249194366,23.662263623518342
510,Unai García,ESP,DF,14.1,Osasuna,La Liga,31,0,9.776817969618273,43.772104743567816,32.31054884150021,2.936756176253602,78.67791828201433,52.219888829009875
511,Johan Gastien,FRA,MF,17.4,Clermont Foot,Ligue 1,35,2,29.145221752661303,52.527032561052266,54.81198667555075,25.906806298590663,82.3932179078626,46.16125416993465
512,Federico Gatti,ITA,DF,6.0,Juventus,Serie A,24,0,4.894288308257765,19.271528404234385,15.051794884650189,2.8908597248005568,84.28765705238803,40.387146131455545
513,Gavi,ESP,MF,14.1,Barcelona,La Liga,18,1,15.56628853638538,43.29428773543324,54.670476427575196,26.665441002630313,73.24172366898736,42.903936259378995
514,Dennis Geiger,GER,MF,13.1,Hoffenheim,Bundesliga,24,1,19.425972052855677,24.936465218515277,54.07714962100684,22.474045762232432,58.74353313696437,37.04940447748997
515,Valentin Gendrey,FRA,DF,20.2,Lecce,Serie A,22,0,2.627838459460856,70.26241303060668,48.042114864673344,12.102739553138479,78.04892450598501,66.16623510223829
516,Yannick Gerhardt,GER,MF,10.8,Wolfsburg,Bundesliga,28,4,31.990259342036325,19.171050594624468,31.383272630731835,16.412415182282853,55.172833742667514,28.75325690542348
517,Valère Germain,FRA,FW,6.5,Montpellier,Ligue 1,32,2,22.55655075069369,14.642221836293606,17.39706726689723,8.91743462891242,43.038951021982264,25.562612264564788
518,Paolo Ghiglione,ITA,DF,5.2,Cremonese,Serie A,26,0,1.3078483157976803,11.174527076106333,13.948174298425053,6.54757302928297,63.06858546288592,29.273536242594595
519,Niko Gießelmann,GER,DF,10.5,Union Berlin,Bundesliga,31,0,11.60418533739448,28.270409058710378,37.29941703279483,30.02524150118864,63.366452189092094,43.74415254756231
520,Samuel Gigot,FRA,DF,14.1,Marseille,Ligue 1,29,2,20.560887072353765,59.06661767926589,36.53713358649204,11.158252941063363,84.65587871131973,63.93629803272285
521,Óscar Gil,ESP,DF,14.1,Espanyol,La Liga,25,0,13.371479930046359,31.21044968418934,36.902106881480755,6.4693867599598835,61.84413501938417,42.02778433905747
522,Matthias Ginter,GER,DF,20.0,Freiburg,Bundesliga,29,3,37.05585758662669,73.11900878729574,52.2063221494395,7.151123124529818,92.0697424239349,76.14086397807847
523,Andrei Girotto,BRA,DF,20.8,Nantes,Ligue 1,30,1,14.581075974436411,100.0,57.150099367979465,14.853380782024301,90.61614700074522,86.8258430932863
524,Olivier Giroud,FRA,FW,15.0,Milan,Serie A,36,7,51.22372997540779,35.822780352372384,40.31935175701721,18.96834003047276,75.52519942354924,55.600755336009485
525,Serge Gnabry,GER,FW,12.3,Bayern Munich,Bundesliga,27,9,60.108285302099105,23.55722520016989,44.94802590338467,52.75648570500896,54.22493758499605,63.469393120232006
526,Degnand Gnonto,ITA,FW,8.0,Leeds United,Premier League,19,2,22.885311326224876,13.823702246696104,27.61548009826512,29.389617117244516,58.231676375667284,31.013147291747117
527,Aleksandr Golovin,RUS,MF,17.5,Monaco,Ligue 1,26,5,44.558752148137174,42.40067095127729,69.9088017600888,61.991772967280546,65.54267377942455,68.94919445975253
528,André Gomes,POR,MF,8.5,Lille,Ligue 1,29,1,14.312743272464282,27.940542492881576,27.60160901286577,10.847839896784995,67.52564017061552,25.096584722472873
529,Angel Gomes,ENG,MF,18.6,Lille,Ligue 1,22,2,28.123830525739947,19.99590774353199,63.939409861937314,47.03019016423778,55.69361119729521,53.44446726457491
530,Joe Gomez,ENG,DF,12.3,Liverpool,Premier League,25,0,1.280095566390833,42.77228514067099,29.512088585505243,6.4835873271921685,71.29244130721078,48.33853256122716
531,Moi Gómez,ESP,MF,18.2,Osasuna,La Liga,28,1,21.82063360440646,20.32186173378418,76.48035431950049,35.36235235839848,61.85479123957213,49.65820976057123
532,Papu Gómez,ARG,MF,7.4,Sevilla,La Liga,34,0,13.280150204819375,13.458461223239365,24.197930390577053,15.088644642201574,53.30452120392649,23.340552714853636
533,Sergi Gómez,ESP,DF,12.5,Espanyol,La Liga,30,0,0.8672734189639789,37.809015161931434,31.412265981231123,1.2848265443558031,73.18692025087789,46.29149989311463
534,Maxime Gonalons,FRA,MF,6.1,Clermont Foot,Ligue 1,33,1,11.697397205187714,22.19843983852595,15.132580360913403,0.9600866352698738,71.38283601230403,16.0666919131577
535,Diego González,ESP,DF,8.1,Elche,La Liga,28,0,2.1777235550185505,31.6437079499766,18.200824670422207,0.0,81.29173686240283,44.74228048285749
536,Édgar González,ESP,DF,12.7,Betis,La Liga,25,0,7.959048979817991,50.261554600011884,33.28070918033743,1.917282410814947,80.4590293705726,55.58951573140383
537,Giovanni González,URU,DF,5.8,Mallorca,La Liga,28,0,1.7354141113469217,16.521382765775293,15.832897503645057,5.904821448582776,68.86658412324681,33.90438482884087
538,Joan Gonzàlez,ESP,MF,17.8,Lecce,Serie A,21,1,16.784667579051256,41.34031736312542,48.205843629703374,17.891816522316457,63.904660504818835,35.248615566619215
539,Oumar Gonzalez,CMR,DF,17.5,Ajaccio,Ligue 1,24,0,8.760907364121415,52.458276492029086,39.93265337260811,0.6183227744712302,80.33301533819123,57.25677510650624
540,Leon Goretzka,GER,MF,11.3,Bayern Munich,Bundesliga,28,3,27.933731313281363,41.08352066387064,37.162371290563016,21.69683972686627,77.41490247021332,37.69170885257156
541,Andoni Gorosabel,ESP,DF,8.2,Real Sociedad,La Liga,26,0,2.595749342959189,15.269344749004087,23.67573289227101,4.1878921213277405,48.981608847238995,27.30150760184068
542,Mario Götze,GER,MF,17.8,Eint Frankfurt,Bundesliga,30,2,25.72938425603833,12.583692681271527,56.62819566628,38.80119724816618,51.37419837982722,45.44302319173873
543,Jeffrey Gouweleeuw,NED,DF,18.3,Augsburg,Bundesliga,31,0,16.925082025844805,66.02030429623873,40.81221975022709,13.930189129112392,82.12692813487838,66.64251709354842
544,Jonathan Gradit,FRA,DF,15.7,Lens,Ligue 1,30,1,15.490444633111423,39.50290756162755,43.83208905415245,16.492366414366895,72.00488574263409,51.498076319656136
545,Alberto Grassi,ITA,MF,5.2,Empoli,Serie A,27,0,4.710541331647699,23.595234622358053,13.769360405877832,3.591138671097368,63.6671790263444,15.737343007588324
546,Demarai Gray,ENG,FW,18.7,Everton,Premier League,26,3,37.92398146571975,28.425624884596456,58.442122545941345,35.46343568005298,66.46436762944772,48.206465697230996
547,Jack Grealish,ENG,FW,11.6,Manchester City,Premier League,27,2,19.900824919254845,30.624457944885247,48.88998332420109,42.76651247817613,75.92303164389958,35.74622861967762
548,Michael Gregoritsch,AUT,FW,16.1,Freiburg,Bundesliga,28,7,57.5169789268718,35.946307398987706,38.618622344164336,35.48638676442587,72.76676071203849,61.67128917157259
549,Clément Grenier,FRA,MF,6.6,Mallorca,La Liga,32,0,11.35966036421006,14.715086394599394,20.125874004016868,6.7974350591586425,42.45090164671224,16.34376978517163
